layer,unit,cosine_similarity,cosine_similarity_random,max_auc,max_mad
0,31,0.5268807232379913,0.35026938319206236,0.3289499999999999,-0.3682565648875929
0,2536,0.5188110947608948,0.3875982016324997,0.29005,-0.5422016467498783
0,2696,0.4858236938714981,0.3555958867073059,0.291,-0.4863747360746309
0,2725,0.48085542768239975,0.3199232429265976,0.5859,-0.3204917528816046
0,2818,0.4386717975139618,0.3866527289152145,0.4431999999999999,-0.2401166195050201
0,3681,0.4960961490869522,0.351455757021904,0.0377,-0.5016199521253701
0,3740,0.40813893973827364,0.3037787422537804,0.3942,-0.3756445715976675
0,4554,0.46122283935546876,0.3063867032527924,0.6361000000000001,0.0487315161013392
0,6213,0.5606650024652481,0.3904712080955505,0.817,0.3288661459580963
0,6600,0.5504554599523545,0.32108061760663986,0.8574,0.3752544680573701
0,10338,0.38254496157169343,0.3652631014585495,0.9694,3.2374235934751936
0,10531,0.678204882144928,0.321539343893528,0.9011,1.642778052216183
0,10698,0.3944296404719353,0.3055106461048126,1.0,98.70158749260683
0,12182,0.3753405690193176,0.35508042573928833,1.0,31.976186891656106
0,12482,0.3626946359872818,0.35215641409158704,0.003,-1.4257480583617843
0,13183,0.3919953465461731,0.3444967642426491,0.7168,1.0300279230295943
0,13502,0.43494899570941925,0.3522705599665642,0.13485,-0.9988580851313776
0,13988,0.8280983626842499,0.2746701329946518,0.5762,-0.3245273804865128
0,14477,0.4616883099079132,0.4017516225576401,0.5245,-0.305380990664737
0,16268,0.399831223487854,0.34087649136781695,0.267,-0.3712734805057247
10,603,0.7445257306098938,0.3532994955778122,0.9842,6.102784255218829
10,1198,0.34707923531532286,0.35639613717794416,0.498,-0.0542164327701729
10,1928,0.5932684540748596,0.3680030182003975,0.9448,2.18015041532924
10,2286,0.40322406888008117,0.31107710003852845,0.0116,-0.865032246914234
10,3209,0.4128728091716766,0.3286774605512619,0.7287,0.6970892109108966
10,3863,0.33095775842666625,0.3737570345401764,0.4985,-0.054180141386535
10,4006,0.5153954565525055,0.33065243512392045,1.0,84.63612370028237
10,4250,0.3731594294309616,0.3650932714343071,0.4975,-0.0663307585815319
10,8516,0.582231855392456,0.31579104959964754,0.9991,10.54222907823606
10,8648,0.45292786955833436,0.31521943807601926,0.3334,-0.2670349665144444
10,8945,0.26484160870313644,0.36869635581970217,0.4995,-0.0316227780101397
10,9562,0.5088073402643204,0.36198142170906067,0.9434,2.257838983854634
10,10341,0.47634777426719666,0.32754742354154587,0.9993,41.88421007032317
10,10787,0.33023756593465803,0.34185080230236053,0.471,-0.1954321860749283
10,10818,0.3581930845975876,0.38990697264671326,0.1522,-0.5168080647130552
10,11970,0.35955098271369934,0.278543521463871,0.7964000000000001,0.978835315452408
10,12045,0.7242212057113647,0.4043033480644226,0.4644999999999999,-0.1812355575606857
10,13527,0.6735695004463196,0.42905535399913786,0.18625,-1.3446516039603391
10,15015,0.4956368774175644,0.2827072963118553,0.9707,3.120042552369278
10,15418,0.5453944951295853,0.33064896762371065,0.9661,4.701743080617541
20,759,0.4171250104904175,0.4021175175905228,0.0,-2.2725090625095428
20,1374,0.7196769833564758,0.41713069677352904,0.0,-0.709917574639535
20,1478,0.6177517116069794,0.32052946239709856,0.0175,-1.0876256010654637
20,1615,0.42960046529769896,0.4433422178030014,0.0,-10.208790810957703
20,1654,0.5666273295879364,0.3147534504532814,0.6788,0.2149906674602827
20,1817,0.6894633859395981,0.38142969012260436,0.8462000000000003,1.277495160097905
20,3307,0.8005213797092438,0.31210051476955414,0.45815,-0.1706403065823854
20,3429,0.6449740707874299,0.3294977456331253,0.2097,-0.5995283939924537
20,4356,0.41962118446826935,0.3545200675725937,0.48235,-0.1337993636253104
20,4671,0.40417940318584444,0.44193433225154877,0.0512,-1.943463105726292
20,6348,0.49541659355163575,0.4406400978565216,0.9745,1.1130492548801028
20,7626,0.4171380877494812,0.41408841609954833,0.8132,-0.0899660187730705
20,8980,0.6628551006317138,0.394390869140625,0.441,-0.3329865427295631
20,9859,0.7050684094429016,0.3358414530754089,0.3564999999999999,-0.1487981553397633
20,10433,0.5162215858697892,0.3437757730484009,0.2515,-0.4489455274535908
20,11664,0.39111785888671874,0.3927994668483734,0.4955,-0.0671377987397194
20,13722,0.40720230638980864,0.44961046278476713,0.2952,-0.2337629635439848
20,15565,0.31162973642349245,0.34892743527889253,1.0,46.97581209156437
20,15809,0.4764462947845459,0.3851369500160217,0.3984999999999999,-0.2318043146421862
20,15942,0.39536489397287367,0.35541931390762327,0.71305,0.0326247525608179
